Address_Id,Street,Number,City,Zip/Postal Code,Country
1,Sutteridge,41436,Clamart,92144 CEDEX,France
2,Glendale,86,Hesperange,L-5941,Luxembourg
3,Leroy,5,Pushkino,142139,Russia
4,Corben,65,Dongying,,China
5,Holy Cross,7,Kónitsa,,Greece
6,Schiller,20,Naviraí,79950-000,Brazil
7,Bultman,5032,Dzüünbulag,,Mongolia
8,Briar Crest,397,Primorka,346870,Russia
9,South,4987,Buenavista,94463,Mexico
10,Dwight,4,Dongkeng,,China
11,Everett,6,Bitin,4117,Philippines
12,4th,9,Fort Lauderdale,33355,United States
13,Prentice,686,Pathein,,Myanmar
14,Londonderry,5780,Encruzilhada do Sul,96610-000,Brazil
15,Mayfield,45,Kudymkar,619001,Russia
16,Hayes,67,Cerrillos,4653,Argentina
17,Huxley,0570,Göteborg,404 32,Sweden
18,Shopko,3,Yuanqiao,,China
19,Bunting,63945,Turar Ryskulov,,Kazakhstan
20,Boyd,1755,Wangzuizi,,China
